LLM,conversation,intent,difficulty,user,no.,valid,question,description
ChatGPT,https://chat.openai.com/share/b5009ced-a84a-4500-8272-acf23cee8fd5,Leisure,Medium,1,0,1,"Create a Magic the Gathering Desk.

You MUST obey the following rules without exception:
1) Only use cards from the Antiquities set.
2) 65 cards in total with a sideboard of 15.
3) Bronze Tablet is banned.
",
ChatGPT,https://chat.openai.com/share/61b55cd2-1d40-4bff-9855-770413bb265a,Solve Professional Problem,Hard,1,1,1,"A right angle triangle is 90 wide and 55 deep, how big are the remaining two sides (nb they are equal).
",
ChatGPT,https://chat.openai.com/share/4913865b-9f7b-443b-9236-0cfce67c42c2,Ask for Advice,Medium,1,2,1,"Tell me what needs to be done to extend the wheelbase of a VW T2 camper.
",
ChatGPT,https://chat.openai.com/share/aa796de9-f4af-4fdb-8988-0129712aefe8,Information Retrieval,Medium,1,3,1,"List me computer games that could be described as ""Spreadsheet simulators"". Examples being:
- Aurora 4X
- Rule the Waves 3</div></div><div data-message-author-role=""user"" data-message-id=""aaa2e7ee-5b54-4c48-8b47-f3ecbdff5cb5"" class=""min-h-[20px] text-message flex flex-col items-start gap-3 whitespace-pre-wrap break-words [.text-message+&amp;]:mt-5 overflow-x-auto""><div class="""">Suggest more spreadsheet simulators set in space?
",
ChatGPT,https://chat.openai.com/share/1d4828ce-cdbc-4a0f-b232-6382ec57888c,Information Retrieval,Medium,1,4,1,"Suggest me restaurants in London near to The Barbican that specialise in New York style or Chicago style pizza. Not takeaways.
",
ChatGPT,https://chat.openai.com/share/518a34f3-4b07-48fe-b977-4111f8bcd306,Text Assistant,Easy,2,0,1,"write one sentence making up an excuse on why I'm busy tonight
",
ChatGPT,https://chat.openai.com/share/d813ea3a-a999-4a30-bf06-7911650ae25e,Information Retrieval,Medium,2,1,1,"how many sharks are there in the world
",
ChatGPT,https://chat.openai.com/share/75f71fe7-ca9e-4e2b-8ae0-1de38e1b973b,Ask for Advice,Easy,2,2,1,"Brainstorm ten names for an orange cat we're adopting from the shelter, with some nickname options as well.
",
ChatGPT,https://chat.openai.com/share/af82bc1b-a21e-4398-9caf-3d53fb5869ec,Information Retrieval,Medium,2,3,1,"Compare Gen Z and Millennial marketing strategies for sunglasses.
",
ChatGPT,https://chat.openai.com/share/8d74fd51-7e83-412b-8b22-e52727a3ca6a,Text Assistant,Easy,2,4,1,"Write 2-3 sentences to thank my interviewer, reiterating my excitement for the job opportunity while keeping it cool. Don't make it too formal.
",
ChatGPT,"Question: whats the meaning of life?
Answer: The meaning of life is a profound and timeless question that has captivated human minds across cultures and epochs. It encompasses the quest to understand the significance of existence itself. While there is no universally agreed-upon answer, various perspectives shed light on this existential inquiry:

Philosophical Contemplation:
Philosophers and thinkers have grappled with the concept of life’s meaning. They explore topics such as existence, consciousness, social connections, and happiness. Through deep reflection, they seek to unravel the purpose behind our being.
Religious and Spiritual Views:
Different faiths and belief systems offer diverse interpretations. Some find meaning through devotion to a higher power, moral principles, and the afterlife. For them, life’s purpose lies in fulfilling divine commands and seeking spiritual enlightenment.
Scientific Exploration:
Science investigates empirical facts about the universe, delving into the “how” of life. It examines biological processes, evolution, and the intricate web of existence. Additionally, scientific insights contribute to well-being and ethical considerations.
Humanistic Approach:
An alternative perspective asks, “What is the meaning of my life?” It emphasizes personal agency and individual experiences. We can create our own purpose, even amidst adversity, pain, and absurdity.",Leisure,Hard,3,0,2,whats the meaning of life?,I was just curious and playing around with the AI
ChatGPT,"Question: what colours will compliment a pale person the most?
Answer: If you have a pale skin tone, choosing the right colors can enhance your appearance and bring out your best features. Here are some recommendations:

Neutrals: Opt for neutral shades like taupe, soft beige, and grays. These understated colors provide a canvas that allows pale skin to shine without competing for attention1.
Cool Tones: Cool tones often complement pale skin. Consider light blues, pinks, and yellows. These colors can add vibrancy and balance to your complexion2.
Deep Purple: Deep purple is an amazing color for pale skin tones. It gives a lively, playful look and cancels out the lack of color in your skin3.
Ruby Red: Ruby red is another flattering choice. It adds warmth and contrast to pale skin.",Ask for Advice,Easy,3,1,2,what colours will compliment a pale person the most?,
ChatGPT,"Question: what's the number one most used word in the world?
Answer: The most frequently used word in the English language has been a topic of fascination for linguists and researchers. Let’s explore a few contenders:

“The”: This tiny word, comprising only three letters, reigns supreme. It accounts for approximately 5% of every 100 words used in written English. “The” is ubiquitous, appearing across various contexts and genres.",Information Retrieval,Easy,3,2,2,what's the number one most used word in the world?,
ChatGPT,"Question: what's the age of the oldest person ever alive?
Answer: The oldest person ever whose age has been independently verified is Jeanne Calment of France. She lived an astonishing 122 years and 164 days 123. Jeanne Calment was born on February 21, 1875, and she passed away on August 4, 1997. Her remarkable longevity has left an indelible mark in history.",Information Retrieval,Easy,3,3,2,what's the age of the oldest person ever alive?,
